Algoritmo,eps,min samples,Tiempo(s),Calinski-Harabasz,Silhouette,n clusters
dbscan,0.126,15,2.367,468.250,0.76037,2
dbscan,0.126,20,1.638,473.629,0.75774,2
dbscan,0.126,25,1.662,509.168,0.75308,2
dbscan,0.126,30,1.580,520.993,0.75022,2
dbscan,0.126,35,1.564,557.247,0.74668,2
dbscan,0.130,15,1.676,444.386,0.76270,2
dbscan,0.130,20,1.624,473.629,0.75774,2
dbscan,0.130,25,1.622,473.629,0.75774,2
dbscan,0.130,30,1.557,502.252,0.75391,2
dbscan,0.130,35,1.516,543.389,0.74931,2
dbscan,0.150,15,1.775,364.846,0.78084,2
dbscan,0.150,20,1.693,401.486,0.77691,2
dbscan,0.150,25,1.640,401.486,0.77691,2
dbscan,0.150,30,1.701,419.823,0.77129,2
dbscan,0.150,35,1.676,431.335,0.77072,2
dbscan,0.170,15,1.725,326.815,0.78982,2
dbscan,0.170,20,1.751,326.815,0.78982,2
dbscan,0.170,25,1.852,343.916,0.78744,2
dbscan,0.170,30,1.673,343.916,0.78744,2
dbscan,0.170,35,1.713,343.916,0.78744,2
dbscan,0.200,15,1.743,234.734,0.81097,2
dbscan,0.200,20,1.728,236.469,0.80628,2
dbscan,0.200,25,1.601,274.152,0.80115,2
dbscan,0.200,30,1.732,277.749,0.79948,2
dbscan,0.200,35,1.686,309.161,0.79346,2
