iter	MultiClass
0	0.610655622
1	0.5649713622
2	0.5385028611
3	0.5211589644
4	0.5081984921
5	0.4997947924
6	0.4926486219
7	0.4876035709
8	0.482716684
9	0.4784807191
10	0.4752692988
11	0.4722010311
12	0.4697883526
13	0.4674341504
14	0.4660730096
15	0.4647442505
16	0.4629595979
17	0.4615541784
18	0.460521673
19	0.4593668736
20	0.4584654567
21	0.4574687512
22	0.4568377516
23	0.4560496163
24	0.4548434563
25	0.4543280042
26	0.4536204315
27	0.4527828036
28	0.4524951433
29	0.4515211554
30	0.4507308045
31	0.4498072626
32	0.4488830362
33	0.4482517324
34	0.4474222037
35	0.4467043052
36	0.4460323996
37	0.4455879034
38	0.4446886702
39	0.4437192291
40	0.4427929414
41	0.4422880633
42	0.4415903574
43	0.4410213169
44	0.4400553145
