iter	Passed	Remaining
0	34	1530
1	80	1731
2	106	1497
3	118	1213
4	129	1038
5	140	913
6	150	817
7	167	774
8	178	713
9	188	660
10	200	619
11	210	579
12	221	545
13	233	517
14	243	486
15	259	469
16	272	448
17	283	425
18	293	401
19	302	377
20	314	359
21	324	339
22	333	318
23	346	302
24	361	289
25	372	272
26	383	255
27	392	238
28	402	221
29	412	206
30	423	191
31	434	176
32	444	161
33	458	148
34	468	133
35	480	120
36	490	106
37	499	92
38	511	78
39	522	65
40	534	52
41	543	38
42	558	25
43	568	12
44	578	0
